"Source: Calculated by ReFED based on data from various sources. See https://insights.refed.com/methodology for more information. Data last updated January 23, 2021",,,,,,,
,,,,,,,
,,,,,,,
year,sector,sub_sector,food_type,cause_group,cause_name,tons_surplus_due_to_cause,us_dollars_surplus_due_to_cause
2019,Foodservice,Business & Industry,Fresh Meat & Seafood,Mistakes & Malfunctions,Equipment Issues,258.5609008,1193000.344
2019,Foodservice,Business & Industry,Fresh Meat & Seafood,Mistakes & Malfunctions,Handling Errors,166.1965533,766831.1203
2019,Foodservice,Business & Industry,Fresh Meat & Seafood,Other,Other,17.81479717,82197.49811
2019,Foodservice,Business & Industry,Fresh Meat & Seafood,Spoiled,Spoiled,642.336844,2963743.062
2019,Foodservice,Business & Industry,Fresh Meat & Seafood,Trimmings & Byproducts,Trimmings & Byproducts,6447.822004,29750259.4
2019,Foodservice,Business & Industry,Frozen,Date Label Concerns,Date Label Concerns,40.6083026,187366.7628
2019,Foodservice,Business & Industry,Frozen,Mistakes & Malfunctions,Cooking Issues,68.48570647,315993.1418
2019,Foodservice,Business & Industry,Frozen,Mistakes & Malfunctions,Equipment Issues,366.2581633,1689915.658
2019,Foodservice,Business & Industry,Frozen,Mistakes & Malfunctions,Handling Errors,95.31852378,439799.7969
2019,Foodservice,Business & Industry,Frozen,Other,Other,7.573252574,34942.99756
2019,Foodservice,Business & Industry,Frozen,Trimmings & Byproducts,Trimmings & Byproducts,2.748568391,12681.89825
2019,Foodservice,Business & Industry,Prepared Foods,Excess,Overproduction,29245.13117,260532232
2019,Foodservice,Business & Industry,Prepared Foods,Excess,Plate Waste,229616.889,2045557609
2019,Foodservice,Business & Industry,Produce,Date Label Concerns,Date Label Concerns,388.24255,1791351.648
2019,Foodservice,Business & Industry,Produce,Mistakes & Malfunctions,Cooking Issues,65.61244315,302735.901
2019,Foodservice,Business & Industry,Produce,Mistakes & Malfunctions,Equipment Issues,26.53485004,122431.8338
2019,Foodservice,Business & Industry,Produce,Mistakes & Malfunctions,Handling Errors,36.76918655,169653.0762
2019,Foodservice,Business & Industry,Produce,Other,Other,5.827710305,26889.06319
2019,Foodservice,Business & Industry,Produce,Spoiled,Spoiled,152.4955368,703614.6118
2019,Foodservice,Business & Industry,Produce,Trimmings & Byproducts,Trimmings & Byproducts,7321.066367,33779410.06
2019,Foodservice,Business & Industry,Ready-to-drink Beverages,Date Label Concerns,Date Label Concerns,2255.33842,10406134.5
2019,Foodservice,Business & Industry,Ready-to-drink Beverages,Mistakes & Malfunctions,Cooking Issues,618.1857309,2852309.794
2019,Foodservice,Business & Industry,Ready-to-drink Beverages,Mistakes & Malfunctions,Equipment Issues,10.67605899,49259.35055
2019,Foodservice,Business & Industry,Ready-to-drink Beverages,Mistakes & Malfunctions,Handling Errors,0.821045645,3788.305712
2019,Foodservice,Business & Industry,Ready-to-drink Beverages,Other,Other,12.84578923,59270.48877
2019,Foodservice,Business & Industry,Ready-to-drink Beverages,Spoiled,Spoiled,82.10456453,378830.5712
2019,Foodservice,Business & Industry,Ready-to-drink Beverages,Trimmings & Byproducts,Trimmings & Byproducts,2245.263968,10359650.97
2019,Foodservice,Caterers,Breads & Bakery,Date Label Concerns,Date Label Concerns,436.5486971,2014236.275
2019,Foodservice,Caterers,Breads & Bakery,Mistakes & Malfunctions,Cooking Issues,18.07195313,83384.01603
2019,Foodservice,Caterers,Breads & Bakery,Mistakes & Malfunctions,Equipment Issues,0.309749948,1429.186675
2019,Foodservice,Caterers,Breads & Bakery,Mistakes & Malfunctions,Handling Errors,71.09539748,328034.2596
2019,Foodservice,Caterers,Breads & Bakery,Other,Other,162.2995985,748850.5659
2019,Foodservice,Caterers,Breads & Bakery,Spoiled,Spoiled,416.6875304,1922596.826
2019,Foodservice,Caterers,Breads & Bakery,Trimmings & Byproducts,Trimmings & Byproducts,31.09416698,143468.5283
2019,Foodservice,Caterers,Dairy & Eggs,Date Label Concerns,Date Label Concerns,977.2205754,4508897.049
2019,Foodservice,Caterers,Dairy & Eggs,Mistakes & Malfunctions,Cooking Issues,54.02112746,249253.5548
2019,Foodservice,Caterers,Dairy & Eggs,Mistakes & Malfunctions,Equipment Issues,18.79931664,86740.07227
2019,Foodservice,Caterers,Dairy & Eggs,Mistakes & Malfunctions,Handling Errors,93.11924154,429652.3057
2019,Foodservice,Caterers,Dairy & Eggs,Other,Other,14.10684793,65089.01533
2019,Foodservice,Caterers,Dairy & Eggs,Spoiled,Spoiled,494.3803989,2281071.825
2019,Foodservice,Caterers,Dairy & Eggs,Trimmings & Byproducts,Trimmings & Byproducts,45.82930714,211456.4848
2019,Foodservice,Caterers,Dry Goods,Date Label Concerns,Date Label Concerns,2159.33786,9963187.79
2019,Foodservice,Caterers,Dry Goods,Mistakes & Malfunctions,Cooking Issues,740.7051608,3417614.608
2019,Foodservice,Caterers,Dry Goods,Mistakes & Malfunctions,Equipment Issues,19.16714793,88437.24631
2019,Foodservice,Caterers,Dry Goods,Mistakes & Malfunctions,Handling Errors,117.7429838,543266.2856
2019,Foodservice,Caterers,Dry Goods,Other,Other,15.61099669,72029.15974
2019,Foodservice,Caterers,Dry Goods,Spoiled,Spoiled,569.3578467,2627017.87
2019,Foodservice,Caterers,Dry Goods,Trimmings & Byproducts,Trimmings & Byproducts,110.8442758,511435.6378
2019,Foodservice,Caterers,Fresh Meat & Seafood,Date Label Concerns,Date Label Concerns,1665.568801,7684936.686
2019,Foodservice,Caterers,Fresh Meat & Seafood,Mistakes & Malfunctions,Cooking Issues,146.5459079,676163.0163
2019,Foodservice,Caterers,Fresh Meat & Seafood,Mistakes & Malfunctions,Equipment Issues,19.70549795,90921.19404
2019,Foodservice,Caterers,Fresh Meat & Seafood,Mistakes & Malfunctions,Handling Errors,236.6047859,1091694.8
2019,Foodservice,Caterers,Fresh Meat & Seafood,Other,Other,44.4945567,205297.9444
2019,Foodservice,Caterers,Fresh Meat & Seafood,Spoiled,Spoiled,534.0784344,2464238.615
2019,Foodservice,Caterers,Fresh Meat & Seafood,Trimmings & Byproducts,Trimmings & Byproducts,255.7528302,1180043.903
2019,Foodservice,Caterers,Frozen,Date Label Concerns,Date Label Concerns,53.2701757,245788.6623
2019,Foodservice,Caterers,Frozen,Mistakes & Malfunctions,Handling Errors,38.10357847,175809.9623
2019,Foodservice,Caterers,Frozen,Other,Other,4.523864135,20873.11521
2019,Foodservice,Caterers,Frozen,Spoiled,Spoiled,62.19361195,286961.4092
