"Source: Calculated by ReFED based on data from various sources. See https://insights.refed.com/methodology for more information. Data last updated January 23, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
year,sector,sub_sector,sub_sector_category,food_type,tons_supply,tons_surplus,us_dollars_surplus,tons_waste,tons_uneaten,tons_eaten,tons_donated,tons_industrial_uses,tons_animal_feed,tons_anaerobically_digested,tons_composted,tons_not_harvested,tons_incineration,tons_land_application,tons_landfilled,tons_dumping,tons_sewer,upstream_mtco2e_footprint,downstream_mtco2e_footprint,total_mtco2e_footprint,gallons_water_footprint,meals_wasted
2019,Foodservice,Colleges & Universities,Colleges/universities,Dairy & Eggs,228169.617,5854.650725,27013366.32,4643.768177,5697.416196,157.2345287,157.2345287,0,27.10636062,1.579203264,1024.962458,0,552.6868907,0,4091.081287,0,0,25822.95335,416.1246426,26239.078,1432656755,9495693.662
2019,Foodservice,Colleges & Universities,Colleges/universities,Dry Goods,501746.9712,12874.42784,59402627.35,10211.68659,12528.66774,345.7600954,345.7600954,0,59.60712262,3.472681706,2253.901355,0,1215.363277,0,8996.323311,0,0,34980.55394,1799.338533,36779.89247,1212255505,20881112.9
2019,Foodservice,Colleges & Universities,Colleges/universities,Fresh Meat & Seafood,390178.844,10011.67851,46193898.13,7941.022662,9742.801405,268.8771075,268.8771075,0,46.35292196,2.700498481,1752.725329,0,945.1158965,0,6995.906765,0,0,113988.6777,1110.887569,115099.5653,12073655104,16238002.35
2019,Foodservice,Colleges & Universities,Colleges/universities,Frozen,23053.7818,591.5416877,2729374.143,469.1966428,575.6550392,15.88664855,15.88664855,0,2.738770093,0.159559401,103.5600672,0,55.84232972,0,413.3543131,0,0,4514.359847,83.98579153,4598.345638,97295480.27,959425.0655
2019,Foodservice,Colleges & Universities,Colleges/universities,Prepared Foods,0,237005.5971,2297135524,191723.7982,233526.3816,995033.9982,3479.215417,0,1348.628867,3770.063926,36683.89071,0,22773.20229,0,168950.5959,0,0,1086959.051,25070.02997,1112029.081,56034749647,389210636.1
2019,Foodservice,Colleges & Universities,Colleges/universities,Produce,317303.0326,8141.743209,37566014.12,6457.834942,7923.085732,218.657477,218.657477,0,37.69533621,2.196111785,1425.359347,0,768.5914927,0,5689.243449,0,0,8129.585533,258.3068571,8387.89239,322075523.4,13205142.89
2019,Foodservice,Colleges & Universities,Colleges/universities,Ready-to-drink Beverages,207337.3362,5320.110984,24546999.24,4219.784108,5177.23224,142.8787442,142.8787442,0,24.63150299,1.435019274,931.3816123,0,502.2256214,0,3717.558487,0,0,17065.61926,560.2981797,17625.91744,85079742.42,8628720.401
2019,Foodservice,Corrections,Corrections,Breads & Bakery,37646.66903,965.9835565,4457049.429,796.214573,941.0324844,24.95107208,24.95107208,0,3.742680716,0.251151863,140.8240794,0,90.91153375,0,705.3030393,0,0,2139.583798,242.8570485,2382.440847,18237633.82,1568387.474
2019,Foodservice,Corrections,Corrections,Dairy & Eggs,56248.52464,1443.292362,6659352.901,1189.637654,1406.012544,37.2798186,37.2798186,0,5.59200253,0.375250245,210.4076378,0,135.8324595,0,1053.805195,0,0,6372.607351,117.9935545,6490.600906,353552083.8,2343354.24
2019,Foodservice,Corrections,Corrections,Dry Goods,123690.9946,3173.812451,14643974.92,2616.023542,3091.833805,81.97864517,81.97864517,0,12.29686217,0.82517855,462.6882245,0,298.6967592,0,2317.326783,0,0,8632.526734,489.3283802,9121.855114,299161301.8,5153056.343
2019,Foodservice,Corrections,Corrections,Fresh Meat & Seafood,96187.14625,2468.085597,11387750.27,2034.326265,2404.33567,63.74992744,63.74992744,0,9.562539971,0.641692389,359.8051746,0,232.2787439,0,1802.047521,0,0,28130.20942,305.3802887,28435.5897,2979545454,4007226.117
2019,Foodservice,Corrections,Corrections,Frozen,5683.233511,145.8272474,672847.1158,120.1985052,142.0605724,3.766675051,3.766675051,0,0.565004262,0.037914501,21.2591485,0,13.72422816,0,106.4742771,0,0,1114.057031,22.41554383,1136.472575,24010649.92,236767.6207
2019,Foodservice,Corrections,Corrections,Prepared Foods,0,64945.83784,568922180.7,54302.96065,64756.41293,372519.2188,189.4249046,0,28.41388679,1172.043023,9252.99538,0,6169.759099,0,48133.20155,0,0,301411.6379,7152.693315,308564.3312,15538327453,107927354.9
2019,Foodservice,Corrections,Corrections,Produce,78221.7531,2007.107912,9260798.604,1654.364154,1955.264903,51.84300896,51.84300896,0,7.7764927,0.521840034,292.6024176,0,188.8947875,0,1465.469366,0,0,2006.225075,81.28784451,2087.512919,79482033.68,3258774.839
2019,Foodservice,Corrections,Corrections,Ready-to-drink Beverages,51112.93702,1311.517272,6051342.459,1081.021678,1277.641166,33.87610666,33.87610666,0,5.081443024,0.340989248,191.1970564,0,123.4307209,0,957.590957,0,0,4211.466027,154.9100022,4366.376029,20996041.18,2129401.943
2019,Foodservice,Full Service Restaurants,All Other,Breads & Bakery,94727.71143,1738.197773,9784163.66,1526.588869,1696.40184,41.79593389,41.79593389,0,4.452718656,0.422506045,164.9377477,0,188.1651059,0,1338.423763,0,0,3857.033579,466.1831533,4323.216733,32877032.48,2827336.4
2019,Foodservice,Full Service Restaurants,All Other,Dairy & Eggs,33031.06398,606.1005909,3411687.361,532.313658,591.5265645,14.57402639,14.57402639,0,1.55264001,0.147325677,57.51294121,0,65.61220111,0,466.7014569,0,0,2681.03336,59.08184882,2740.115208,148743658.4,985877.6076
2019,Foodservice,Full Service Restaurants,All Other,Dry Goods,153624.5649,2818.920384,15867456.97,2475.743868,2751.137872,67.78251116,67.78251116,0,7.221191726,0.685198728,267.4876163,0,305.1565597,0,2170.587308,0,0,7681.289723,480.2278015,8161.517525,266196063.3,4585229.788
2019,Foodservice,Full Service Restaurants,All Other,Fresh Meat & Seafood,321574.1949,5900.697285,33214510.35,5182.343994,5758.811731,141.8855537,141.8855537,0,15.11573958,1.434290339,559.9177119,0,638.7681233,0,4543.57587,0,0,67376.85674,824.727738,68201.58448,7136541511,9598019.554
